word,freq
!,3
#,16
's,1
",",1
.,5
..,1
...,2
//t.co/4qgipmj5bbit,1
//t.co/kfwxqa0nm4,1
//t.co/nfpo2wpkktrt,1
//t.co/rhdgu,1
//t.co/rhdgubm21e,1
:,13
?,1
@,5
andre,1
andrew,2
ate,1
attention,1
ball,1
beastmode,1
blatt,1
blowoutgood,1
bogut,2
boom,1
cameraman,3
cavsyou,1
changes,1
cheese,1
counter,1
court,1
crunch,1
d,1
delly,1
embarrassed,1
fav,1
fight,1
first,1
game,2
gs,2
guess,1
hagertony,1
he,1
http,5
http…rt,1
hungryandhumble,1
i,2
igoudala,1
indystarsports,2
james,2
jumped,2
kerr,1
lebron,3
lol,1
lopsided,1
love,1
man,1
media,1
mishap,1
move,1
mvp,1
nbafinals2015,5
nbafinals20152-2,1
nbafinals2015andre,1
nbafinals2015last,1
nbafinals2015rt,2
next,1
night,1
obvious,1
puts,1
rt,1
says,2
scottshanle,1
seeing,1
shithappens,1
shots,1
sometimes,1
step,1
think,1
throwing,1
time,1
veterans,1
warriors,1
wild,1
win,1
work,1
wtt2015,1
