word,freq
!,3
#,21
'm,1
(,1
),1
",",2
//t.co/2elkbyef2i,1
//t.co/citried8fart,1
//t.co/hxuzhyjwkp,1
//t.co/nxas3vnwenpacific,1
//t.co/tp8zm5rqxv,1
01/99,1
2009-10,1
2014-15,1
3,1
:,8
=,1
@,3
[,5
],5
around,1
auto,1
barnes,1
basketball,1
best,1
brave,1
buy,1
c,1
card,1
cards,1
cavaliers,1
certified,1
city,1
clippers,1
coldkurd,1
combo,1
curry,4
democracy,1
divac,1
draft,1
edition,1
f,2
fsa,1
g,2
godubs,1
gogo,1
green,1
hot’,1
http,4
https,1
i,1
iguodala,1
in,1
l,1
lot,1
mreader,1
mvploving,1
nba,3
notes,1
of,1
ownersboxnba,1
panini,1
pinterest,1
pride,1
rc,1
rookies,1
seeing,1
shopping,1
sponsorships,1
startingfive,1
steph,1
stephen,2
syria,1
takeallrt,1
the,1
then,1
thompson,1
thursdayl,1
time,1
totally,1
ud,1
updated,1
usnewse,1
vs,1
warriors,6
way,1
west,1
ypg,1
|,1
‘smoking,1
